,id,gid,name,latitude,longitude,address,satation_id,station_name,station_distance,station_time,genre_code,genre_name,review_count,access,paypay_flg
0,100000327645,Pp0F0h_6rvo,神武食堂,40.80290369,140.3876334,青森県つがる市木造宮崎1-10,20670,木造,47,0,0111,定食、食堂,12,JR五能線／木造駅 徒歩1分 (49m),True
1,100001019201,F-NGw4on-3A,レストラン野のこ 道の駅もりたアーストップ,40.78436141781751,140.32230614051014,青森県つがる市森田町床舞稚桜4-1,20785,陸奥森田,1673,20,0101017,そば,2,JR五能線／陸奥森田駅 徒歩24分 (1887m),False
2,t100375412,_WPu8BP9_7c,中華そば文四郎 つがる柏店,40.8051767,140.4199502,青森県つがる市柏稲盛幾世174-1 ,20683,五所川原,2570,32,0106001,ラーメン,,,True
3,100001344621,xiBPxwMLJ9w,焼肉居酒屋 炭香,40.8048794,140.41357859999994,青森県つがる市柏上古川八重崎37-41,20670,木造,2654,33,0108001,焼肉,2,津軽鉄道／津軽五所川原駅 徒歩9分 (660m),True
4,100000327654,iIRVlzSD4rA,中華飯店 幡龍 イオンモール柏店,40.80276279,140.41665583,青森県つがる市柏稲盛幾世41,20683,五所川原,2958,36,0104001,中華料理,6,JR五能線／木造駅 徒歩40分 (3206m),False
5,100001141439,WJntcSWa0iE,森のレストラン・ライアン,40.767910571004464,140.33647359998258,青森県つがる市森田町床舞藤山244,20785,陸奥森田,2212,27,0101017,そば,2,JR五能線／陸奥森田駅 徒歩20分 (1549m),False
6,ID100375,m7PrbLHil_M,はま寿司 つがる柏店,40.801442713815,140.41925925103,青森県つがる市柏稲盛幾世121-1,20683,五所川原,3077,38,0101013,回転寿司,6,JR五能線／五所川原駅 徒歩42分 (3296m),False
7,100000327643,eIbrl7Oje8-,グリル谷,40.81839342,140.38499147,青森県つがる市木造藤田16-5,20670,木造,2123,26,0111,定食、食堂,3,JR五能線／木造駅 徒歩23分 (1793m),False
8,100000327644,XlX799rksaw,じょっぱり食堂,40.80062421,140.4196223,青森県つがる市柏下古川花崎112-2,20683,五所川原,3145,39,0106001,ラーメン,5,JR五能線／五所川原駅 徒歩41分 (3263m),False
9,100000937674,UVnJ-51CZTc,道の駅もりたアーストップ,40.78444941139612,140.32218090637787,青森県つがる市森田町床舞稚桜4-1,20785,陸奥森田,1677,20,0118,スイーツ,13,JR五能線／陸奥森田駅 徒歩24分 (1903m),False
10,100000327723,i5A42jSD4rA,かつてん柏イオン店,40.802750100408474,140.4166685704928,青森県つがる市柏稲盛幾世41,20683,五所川原,2959,36,0101031,丼もの、牛丼、親子丼,4,JR五能線／木造駅 徒歩40分 (3193m),True
11,100000327657,6Ky_qNMw-VI,ラーメンショップ,40.79117467,140.29817213,青森県つがる市木造越水長谷川114-5,20678,越水,781,9,0106001,ラーメン,6,JR五能線／越水駅 徒歩6分 (438m),False
12,100001078922,kZJVuQGEsIk,ラーメン大吉,40.80500936829212,140.41391368331438,青森県つがる市柏上古川八重崎37-22,20670,木造,2692,33,0106001,ラーメン,2,JR五能線／木造駅 徒歩37分 (2915m),False
13,11084867,LrZmxLF9g4M,グリルカマタ,40.805672999999999,140.41992300000001,青森県つがる市柏稲盛岡本15-3,20683,五所川原,2462,30,0102004,洋食（その他）,4,,False
14,100000963189,guCiJTtDajg,そば処 案山子,40.78444540,140.32218423,青森県つがる市森田町床舞稚桜4-1,20785,陸奥森田,1677,20,0101017,そば,1,JR五能線／陸奥森田駅 徒歩24分 (1869m),False
15,100001075497,0tBPFc4WhAM,グリルカマタ,40.805803905448,140.41755269434,青森県つがる市柏稲盛岡本15-3,20683,五所川原,2684,33,0102,洋食,1,JR五能線／木造駅 徒歩42分 (3326m),False
16,J000267111,IOWKOjSD4rA,一心亭 イオンモールつがる柏店,40.80274890,140.41669194,青森県つがる市柏稲盛幾世41 イオン柏SC内,20683,五所川原,2959,36,0108001,焼肉,,JR五能線　木造駅からバスで10分,True
17,100000327635,23MatNqGhkY,山口食堂,40.80468138,140.39224961,青森県つがる市木造増田42-3,20670,木造,549,6,0111,定食、食堂,3,JR五能線／木造駅 徒歩7分 (553m),False
18,100000327639,5bjHVRT-v1I,大番,40.80685607,140.39053302,青森県つがる市木造若竹6-1,20670,木造,776,9,0111,定食、食堂,3,JR五能線／木造駅 徒歩8分 (574m),False
19,100000327713,JsBqkWLjsB-,あさねぼう,40.80663931,140.38618063,青森県つがる市木造桜川14-2,20670,木造,582,7,0115002,喫茶店,3,JR五能線／木造駅 徒歩7分 (494m),False
20,100000327629,qMiM8cPs3LY,太閤,40.80486193,140.39270512,青森県つがる市木造照日14-6,20670,木造,629,7,0108001,焼肉,3,JR五能線／木造駅 徒歩8分 (608m),True
21,100000327718,r5RHg-87Dto,スパゲティハウスささたけ(三三竹),40.81190234,140.37870614,青森県つがる市木造若緑87-5,20670,木造,1567,19,0115002,喫茶店,1,JR五能線／木造駅 徒歩19分 (1451m),False
22,100000327638,Ja2LluVEXu2,一番食堂,40.77938801,140.34036031,青森県つがる市森田町森田月見野222-6,20785,陸奥森田,327,4,0111,定食、食堂,2,JR五能線／陸奥森田駅 徒歩4分 (300m),False
23,6287726,0iVHzl6_pck,むらおこし拠点館フラット,40.96576168,140.36467900,青森県つがる市 豊富町屏風山1-273,,,,,0111001,定食、食堂,,,True
24,5715709,6ampn1U4bso,森のレストラン ライアン 地球村店,40.76763354,140.33658312,青森県つがる市 森田町床舞藤山244 つがる地球村(株)文化会館内,20785,陸奥森田,2227,27,0102,洋食,,,False
25,100000327658,7TPHHDOA0s2,宝祥純中国料理,40.81828764,140.37707555,青森県つがる市木造朝日8-45,20670,木造,2084,26,0104001,中華料理,1,JR五能線／木造駅 徒歩27分 (2119m),False
26,100000327652,QI7h60oLfeU,若葉食堂,40.8075893,140.38995527,青森県つがる市木造若竹7-1,20670,木造,859,10,0111,定食、食堂,1,JR五能線／木造駅 徒歩8分 (616m),False
27,100000327632,rwV2cDSD4rA,イオン柏ショッピングセンター　WADONAそば処儀平庵,40.80276279,140.41665583,青森県つがる市柏稲盛幾世41,20683,五所川原,2958,36,0101017,そば,1,JR五能線／木造駅 徒歩40分 (3206m),False
28,100000749457,KfsZ0moLfeU,福助,40.807574,140.390005,青森県つがる市木造若竹7-1 ぎんざかいかん 1F,20670,木造,864,10,0101025,焼き鳥,1,JR五能線／木造駅 徒歩8分 (617m),False
29,100000327720,anVjPeR132w,めるしー,40.8033601,140.41452860000004,青森県つがる市柏上古川八重崎,20670,木造,2934,36,0115002,喫茶店,1,JR五能線／木造駅 徒歩38分 (2971m),False
30,ID0100209,XfcUMlfpMxk,すき家 101号つがる柏店,40.806038020109,140.41996454614,青森県つがる市柏稲盛字岡本89,20683,五所川原,2460,30,0101031,丼もの、牛丼、親子丼,,JR五能線／五所川原駅 徒歩39分 (3089m),True
31,100000327665,BaS-zmcNkjM,ミスタードーナツ イオンつがる柏,40.80276279,140.41665583,青森県つがる市柏稲盛幾世41,20683,五所川原,2958,36,0118,スイーツ,,JR五能線／木造駅 徒歩40分 (3206m),False
32,100001124083,Q2Tvga5cPGQ,コージーコーナー イオンつがる柏店,40.802787797094,140.41667604945,青森県つがる市柏稲盛イオンモールつがる柏 1F字幾世41-1,20683,五所川原,2955,36,0118001,洋菓子、ケーキ,,JR五能線／木造駅 徒歩41分 (3208m),False
33,101976,sqwQ-B5-7qM,桂食堂,40.80877797,140.38707771,青森県つがる市木造千代町98,20670,木造,790,9,0101017,そば,2,,False
34,100001131702,Qy7ELmKJROo,味覚道,40.948251636304,140.35883081558,青森県つがる市車力町花林48 しゃりき温泉,,,,,0114001,持ち帰り専門、弁当,,津軽鉄道／大沢内駅 徒歩110分 (8766m),False
