,id,gid,name,latitude,longitude,address,satation_id,station_name,station_distance,station_time,genre_code,genre_name,review_count,access,paypay_flg
85,s000200390,YKvYtkXjTws,赤坂見附個室居酒屋　馬に魚に　馬と魚が旨い店,35.67650378,139.73694951,東京都港区赤坂3-8-1 赤坂アルトビル3F,22486,赤坂見附,81,1,0110001,和風居酒屋,269,,True
86,YP1798713828EF,qhgZUMccF6A,野菜巻き串と宴会個室 とんとん拍子 武蔵小杉,35.5754912405,139.6573965894,神奈川県川崎市中原区小杉町3-261 TS小杉ビル1F,23345,武蔵小杉,236,2,0110001,和風居酒屋,,,True
87,100001186563,_h90qpjRq9A,ヒルトン小田原リゾート&スパ Ocean Lounge,35.2067499289833,139.1316533088684,神奈川県小田原市根府川583-1,23271,根府川,1685,21,0115001,カフェ,297,JR東海道本線(東京～熱海)／根府川駅 徒歩12分 (898m),False
88,100001297722,56FLtMiEr5A,The Neworder Table 渋谷駅店,35.65917591962109,139.69888393534083,東京都渋谷区道玄坂2-6-17 TOHOシネマズ渋谷B1F,22715,渋谷,12,0,0119004,ダイニングバー,265,JR山手線／渋谷駅 徒歩1分 (14m),True
89,100001483311,dih0sVblQao,カップヌードルミュージアム横浜,35.455486,139.638873,神奈川県横浜市中区新港2-3-4,29480,みなとみらい,753,9,01,グルメ,409,みなとみらい線／馬車道駅 徒歩8分 (636m),False
90,100000030137,Dx0oS-3bCZQ,大王わさび農場 レストラン,36.33891245260535,137.90915808598334,長野県安曇野市穂高3640 大王わさび農場,24320,穂高,2703,33,0101,和食,262,JR篠ノ井線／明科駅 徒歩36分 (2850m),False
91,37134,R2yOpmrhIBs,東京ディズニーランドホテル,35.63679818,139.87814469,千葉県浦安市舞浜29-1,29370,東京ディズニーランド・ステーション,124,1,0304001,ホテル、旅館,559,,False
92,100000039116,FAbocjze5l6,京都ホテルオークラ,35.011474,135.76945,京都府京都市中京区河原町御池,29203,京都市役所前,42,0,0304002,旅館,260,京都市営地下鉄東西線／京都市役所前駅 徒歩1分 (87m),False
93,100000066552,_IXPTxpT0ws,サザンビーチホテル&リゾート沖縄,26.132011,127.65296799999999,沖縄県糸満市西崎1-6番1号,,,,,0103001,バイキング,257,ゆいレール／赤嶺駅 徒歩86分 (6851m),False
94,100000763542,cS8mh4qi2nE,グランド・ハイアット・福岡,33.58978270000001,130.4104148,福岡県福岡市博多区住吉1-2-82 グランドハイアット福岡,28253,中洲川端,712,8,0128001,その他,257,福岡市営地下鉄空港線／祇園（福岡）駅 徒歩9分 (670m),False
95,100001168782,YpaOYirR4Qk,ホテルオークラJRハウステンボス,33.0894895,129.79386909999994,長崎県佐世保市ハウステンボス町10 ホテルオークラJRハウステンボス,28548,ハウステンボス,495,6,0102,洋食,256,JR大村線／ハウステンボス駅 徒歩5分 (394m),False
96,100001345011,KZbkO3lG83Y,アニヴェルセル表参道　,35.66627936,139.71136331,東京都港区北青山3-5-30,22588,表参道,66,0,0102005,フランス料理（フレンチ）,257,東京メトロ銀座線／表参道駅 徒歩2分 (88m),False
97,20113,8vcLD8RjFg2,東京ソラマチ(R),35.7103464,139.8121225,東京都墨田区押上1-1-2,22859,とうきょうスカイツリー,248,3,0303003,水族館,552,,False
98,100000901365,mTB-_VVP1hk,ドーミーインプレミアム 小樽,43.19841714849286,140.99472102943042,北海道小樽市稲穂3-9-1,20098,小樽,136,1,0103001,バイキング,254,JR函館本線(小樽～旭川)／小樽駅 徒歩2分 (125m),False
99,100001391045,Uv6tdx30ZmY,ホテルモントレ グラスミア大阪,34.666651131633714,135.49615668708,大阪府大阪市浪速区湊町1-2-3,25984,ＪＲ難波,75,0,0101045,鉄板焼き,252,大阪メトロ御堂筋線／なんば駅 徒歩1分 (84m),False
